longitude,latitude
-73.8142,40.7045
-73.9344,40.7460
-73.8745,40.7433
-74.1470,40.5732
-73.9519,40.6921
-74.0110,40.7163
-73.9189,40.8611
-73.9241,40.8425
-73.9069,40.8427
-73.8381,40.6713
-73.8502,40.8283
NULL,NULL
-73.9872,40.5782
-73.9446,40.6731
-73.8374,40.6738
-73.8444,40.8695
-73.9247,40.8107
-74.1021,40.5848
NULL,NULL
-73.8681,40.8582
-73.8861,40.6671
-73.8917,40.8823
-73.9556,40.7643
-74.0864,40.6107
-74.1216,40.6106
-73.8704,40.7622
-73.9238,40.8644
-73.8235,40.7647
-73.9806,40.5793
-73.8206,40.6851
-73.9368,40.7902
-74.0778,40.6441
-73.9003,40.8371
-73.9895,40.6234
-74.1866,40.6032
-73.9726,40.7451
-73.8753,40.7630
-73.7713,40.7642
-73.7636,40.6992
-73.8902,40.8635
NULL,NULL
-73.8016,40.6664
-73.9895,40.7179
-74.1332,40.5523
-74.1759,40.6231
-73.8574,40.8263
-73.8718,40.8303
-73.8689,40.8249
-73.9334,40.7583
-73.9680,40.5937
-73.9392,40.5961
-74.1025,40.6347
-73.8395,40.6575
-74.0058,40.7257
-73.8510,40.8840
-73.7693,40.7120
-73.8024,40.6979
-73.9856,40.7315
-73.9705,40.6242
-74.0789,40.6112
-73.9073,40.7425
-74.0171,40.6473
-73.9157,40.8517
-73.9848,40.7014
NULL,NULL
-73.8959,40.6519
-74.1698,40.5414
-73.9330,40.5946
-73.8947,40.7426
-74.0129,40.6282
-74.0011,40.6030
-73.9141,40.8201
-73.8988,40.6420
-73.9882,40.7186
-73.9743,40.6321
NULL,NULL
-73.9079,40.6736
-73.8806,40.7501
NULL,NULL
-73.8978,40.7352
-73.9060,40.8494
-73.9967,40.6651
-73.9231,40.6467
-73.9901,40.6210
-73.9228,40.8174
NULL,NULL
-73.9159,40.8364
-73.8590,40.8380
-73.8710,40.8226
-73.8169,40.6902
-73.9325,40.6186
-73.8573,40.6839
-73.9116,40.7083
NULL,NULL
NULL,NULL
-74.2178,40.5532
-73.9073,40.6612
-73.9065,40.8387
-73.9287,40.8398
-73.7699,40.7159
-74.1690,40.5401
