ROW_ID,LONGITUDE,LATITUDE,CRASH_TIME
74775,-73.8142,40.7045,00:00:00
74853,-73.9344,40.7460,03:24:00
74686,-73.8745,40.7433,09:44:00
74736,-74.1470,40.5732,18:10:00
74577,-73.9519,40.6921,07:36:00
74699,-74.0110,40.7163,04:56:00
74819,-73.9189,40.8611,04:25:00
74702,-73.9241,40.8425,05:51:00
74618,-73.9069,40.8427,04:15:00
74490,-73.8381,40.6713,22:15:00
74718,-73.8502,40.8283,04:46:00
74159,NULL,NULL,20:24:00
74757,-73.9872,40.5782,01:09:00
74107,-73.9446,40.6731,00:10:00
74199,-73.8374,40.6738,22:15:00
73500,-73.8444,40.8695,04:50:00
73610,-73.9247,40.8107,00:24:00
73895,-74.1021,40.5848,20:20:00
73976,NULL,NULL,05:00:00
74172,-73.8681,40.8582,21:58:00
73311,-73.8861,40.6671,01:45:00
73288,-73.9556,40.7643,06:45:00
74631,-74.0864,40.6107,03:30:00
74195,-74.1216,40.6106,15:00:00
74722,-73.8704,40.7622,04:20:00
73160,-73.9238,40.8644,22:00:00
72376,-73.9806,40.5793,00:11:00
72474,-73.8206,40.6851,19:40:00
71882,-73.9368,40.7902,22:53:00
74658,-74.0778,40.6441,01:50:00
71824,-73.9003,40.8371,17:35:00
74822,-73.9895,40.6234,02:25:00
71560,-74.1866,40.6032,03:08:00
71031,-73.9726,40.7451,19:03:00
70489,-73.8753,40.7630,04:15:00
70552,-73.7713,40.7642,01:56:00
70631,-73.8902,40.8635,02:15:00
70402,NULL,NULL,21:05:00
70019,-73.8016,40.6664,04:56:00
70364,-73.9895,40.7179,02:35:00
70868,-74.1332,40.5523,21:22:00
71535,-74.1759,40.6231,00:15:00
72527,-73.8574,40.8263,08:29:00
70045,-73.8718,40.8303,05:40:00
70756,-73.8689,40.8249,23:40:00
70141,-73.9334,40.7583,02:53:00
70367,-73.9680,40.5937,04:19:00
71170,-73.9392,40.5961,15:30:00
69883,-74.1025,40.6347,05:25:00
70116,-73.8395,40.6575,14:29:00
70266,-74.0058,40.7257,03:33:00
70485,-73.8510,40.8840,02:30:00
70471,-73.7693,40.7120,22:30:00
70278,-73.8024,40.6979,20:00:00
73485,-73.9856,40.7315,04:43:00
70669,-73.9705,40.6242,23:27:00
69430,-74.0789,40.6112,14:30:00
68974,-73.9073,40.7425,18:20:00
68555,-74.0171,40.6473,03:00:00
68870,-73.9157,40.8517,00:00:00
68931,-73.9848,40.7014,12:40:00
69478,NULL,NULL,01:05:00
68425,-73.8959,40.6519,08:00:00
69192,-74.1698,40.5414,01:00:00
67784,-73.9330,40.5946,01:46:00
67424,-73.8947,40.7426,04:00:00
68104,-74.0129,40.6282,23:16:00
67636,-74.0011,40.6030,23:05:00
70421,-73.9141,40.8201,01:20:00
72661,-73.8988,40.6420,02:15:00
66666,-73.9882,40.7186,02:20:00
67714,-73.9743,40.6321,17:40:00
66674,NULL,NULL,23:40:00
67261,-73.9079,40.6736,14:50:00
66807,-73.8806,40.7501,02:15:00
67082,NULL,NULL,07:21:00
67206,-73.8978,40.7352,19:25:00
67011,-73.9060,40.8494,05:28:00
66383,-73.9967,40.6651,00:30:00
67233,-73.9231,40.6467,11:45:00
66331,-73.9901,40.6210,21:45:00
67406,-73.9228,40.8174,18:45:00
70656,NULL,NULL,16:55:00
68755,-73.9159,40.8364,20:10:00
66876,-73.8590,40.8380,16:40:00
66389,-73.8710,40.8226,18:07:00
67040,-73.8169,40.6902,23:30:00
66023,-73.9325,40.6186,13:15:00
66096,-73.8573,40.6839,04:20:00
66407,-73.9116,40.7083,08:55:00
65963,NULL,NULL,01:05:00
66162,NULL,NULL,03:55:00
70593,-74.2178,40.5532,23:17:00
66653,-73.9073,40.6612,19:55:00
66013,-73.9065,40.8387,13:48:00
67184,-73.9287,40.8398,03:13:00
70704,-73.7699,40.7159,22:35:00
66425,-74.1690,40.5401,00:23:00
66984,-73.9611,40.6641,23:20:00
66136,NULL,NULL,03:10:00
65564,-73.9452,40.5925,00:00:00
67670,-73.9515,40.7995,22:50:00
65675,-73.7745,40.6703,23:45:00
65532,-73.9348,40.8438,16:45:00
67155,-73.8789,40.6864,02:40:00
67095,NULL,NULL,02:25:00
64955,-74.1470,40.5732,19:45:00
64896,NULL,NULL,03:15:00
64555,-73.8735,40.7587,00:22:00
64633,-73.7463,40.6913,10:20:00
64931,-73.9423,40.7989,02:15:00
